"Category","Ingredient","Avg_price_lb","Conventional_price_lb","Sustainable_price_lb","Default_sus","Menu_freq_f25","Conventional_GHG_per_lb","Expected_lb_meat_portion","X._dish_meat","Expected_portions","freq_baseline","freq_opt_s2v2_expanded","delta_s2v2_expanded","baseline_cost_contribution","opt_cost_contribution","baseline_sus_spend","opt_sus_spend","baseline_ghg_contribution","opt_ghg_contribution","is_existing_item","is_new_hypothetical_allowed"
"Beef","Beef Barbacoa Precooked",7.16,7.16,0,"No",4,41.34628634,0.25,1,1103.1875,4,2,-2,7.16,3.58,0,0,41.34628634,20.67314317,TRUE,FALSE
"Beef","Beef Ground HALAL",3.61,3.61,0,"No",6,41.34628634,0.1647658499,0.6087,1103.1875,6,3,-3,3.568828308834,1.784414154417,0,0,40.8747360541132,20.4373680270566,TRUE,FALSE
"Beef","Beef Brisket Whole HALAL",5.6,0,5.6,"Yes",1,41.34628634,0.2399619594,0.85,1103.1875,1,2,1,1.34378697264,2.68757394528,1.34378697264,2.68757394528,9.92153588405986,19.8430717681197,TRUE,FALSE
"Beef","Beef Carne Asada Diced 1/4 Fully Cooked",8.46,8.46,0,"No",1,41.34628634,0.19,1,1103.1875,1,0,-1,1.6074,0,0,0,7.8557944046,0,TRUE,FALSE
"Beef","Beef Chicken Fried",0.35,0.35,0,"No",1,41.34628634,0.2328125,0.745,1103.1875,1,0,-1,0.081484375,0,0,0,9.62593228853125,0,TRUE,FALSE
"Beef","Beef Meatball Precooked",5.64,5.64,0,"No",3,41.34628634,0.2359344355,0.637,1103.1875,3,1,-2,3.99201064866,1.33067021622,0,0,29.2650381829478,9.75501272764926,TRUE,FALSE
"Beef","Beef Sirloin Philly Sliced HALAL",8.43,0,8.43,"Yes",4,41.34628634,0.1621483189,0.7728,1103.1875,4,6,2,5.467641313308,8.201461969962,5.467641313308,8.201461969962,26.8169232911561,40.2253849367342,TRUE,FALSE
"Chicken","Chicken 8 Cut HALAL",2.62,0,2.62,"Yes",11,4.399609786,0.2427710526,0.8869,1012.0909,11,17,6,6.996661735932,10.813022682804,6.996661735932,10.813022682804,11.7490768865413,18.1576642792002,TRUE,FALSE
"Chicken","Chicken Thigh Boneless HALAL",1.98,1.98,0,"No",16,4.399609786,0.2301696977,0.8005,1012.0909,16,22,6,7.291776023136,10.026192031812,0,0,16.2025096710653,22.2784507977148,TRUE,FALSE
"Chicken","Chicken Breast B/S Raw HALAL",2.53,2.96,2.09,"Yes",4,4.399609786,0.236548246,0.6543,1012.0909,4,6,2,1.97754333656,2.96631500484,1.97754333656,2.96631500484,4.16287991185094,6.24431986777641,TRUE,FALSE
"Chicken","Chicken Diced Dark Meat HALAL",3.64,3.64,0,"No",4,4.399609786,0.1876263053,0.5245,1012.0909,4,6,2,2.731839005168,4.097758507752,0,0,3.30193011563561,4.95289517345342,TRUE,FALSE
"Chicken","Chicken Tenderloin Breaded Precooked",0.97,0.97,0,"No",3,4.399609786,0.2524551538,0.958,1012.0909,3,1,-2,0.734644497558,0.244881499186,0,0,3.33211249555385,1.11070416518462,TRUE,FALSE
"Chicken","Chicken Breast B/S Raw 4 oz",5.94,4.94,6.93,"No",2,4.399609786,0.214612918,0.5985,1012.0909,2,3,1,2.12037562984,3.18056344476,0,0,1.88842618846963,2.83263928270445,TRUE,FALSE
"Chicken","Chicken Breast Fajita Cut",3.15,3.15,0,"No",3,4.399609786,0.1295156547,0.3757,1012.0909,3,5,2,1.223922936915,2.039871561525,0,0,1.70945502557495,2.84909170929158,TRUE,FALSE
"Chicken","Chicken Diced Meat Precooked",4.02,4.02,0,"No",3,4.399609786,0.2013004903,0.652,1012.0909,3,5,2,2.427683913018,4.04613985503,0,0,2.65693082115143,4.42821803525239,TRUE,FALSE
"Chicken","Chicken Mandarin Orange with Sauce",4.39,4.39,0,"No",2,4.399609786,0.3616239916,0.929,1012.0909,2,1,-1,3.175058646248,1.587529323124,0,0,3.18200890459148,1.59100445229574,TRUE,FALSE
"Chicken","Chicken Thigh Bone In HALAL",1.41,1.41,0,"No",5,4.399609786,0.2452742942,0.8568,1012.0909,5,2,-3,1.72918377411,0.691673509644,0,0,5.39555592508282,2.15822237003313,TRUE,FALSE
"Chicken","Chicken Thigh Boneless Precooked",5.78,5.78,0,"No",3,4.399609786,0.2466879542,0.9607,1012.0909,3,1,-2,4.277569125828,1.425856375276,0,0,3.25599221215992,1.08533073738664,TRUE,FALSE
"Chicken","Chicken Breast Fajita Cut HALAL",3.19,3.19,0,"No",1,4.399609786,0.2010328999,0.487,1012.0909,1,2,1,0.641294950681,1.282589901362,0,0,0.884466313707998,1.768932627416,TRUE,FALSE
"Chicken","Chicken Tenderloin Breaded (HS) Halal",4.6,4.6,0,"No",1,4.399609786,0.2524551538,0.958,1012.0909,1,0,-1,1.16129370748,0,0,0,1.11070416518462,0,TRUE,FALSE
"Chicken","Chicken Thigh Boneless",3.49,1.69,5.29,"No",1,4.399609786,0.2875,0.92,1012.0909,1,0,-1,0.485875,0,0,0,1.264887813475,0,TRUE,FALSE
"Fish","Rockfish Fillet",6.9,6.9,7.69,"Yes",6,4.979783836,0.2327858077,0.7978,850.4667,6,8,2,10.740737167278,14.320982889704,10.740737167278,14.320982889704,6.95533801460799,9.27378401947731,TRUE,FALSE
"Fish","Salmon Fillet Standard",8.28,0,8.28,"Yes",4,4.979783836,0.2400460045,0.8525,850.4667,4,6,2,7.95032366904,11.92548550356,7.95032366904,11.92548550356,4.78150885242193,7.1722632786329,TRUE,FALSE
"Fish","Cod Fillet Breaded",9.91,9.91,0,"No",3,4.979783836,0.2498935219,0.855,850.4667,3,1,-2,7.429334406087,2.476444802029,0,0,3.7332471632362,1.24441572107873,TRUE,FALSE
"Fish","Catfish Fillet",6.03,6.03,0,"No",1,4.979783836,0.240145536,0.816,850.4667,1,0,-1,1.44807758208,0,0,0,1.19587285846036,0,TRUE,FALSE
"Fish","Cod Fillet",7.48,7.48,0,"No",1,4.979783836,0.2499869253,0.782,850.4667,1,0,-1,1.869902201244,0,0,0,1.24488084982028,0,TRUE,FALSE
"Fish","Sand Bass",6.82,0,6.82,"Yes",2,4.979783836,0.2425715591,0.8207,850.4667,2,1,-1,3.308676066124,1.654338033062,3.308676066124,1.654338033062,2.415907858159,1.2079539290795,TRUE,FALSE
"Fish","Halibut",15.35,0,15.35,"Yes",2,4.979783836,0.2425715591,0.8207,850.4667,2,3,1,7.44694686437,11.170420296555,7.44694686437,11.170420296555,2.415907858159,3.6238617872385,TRUE,FALSE
"Shellfish","Shrimp 31/40",5.59,5.59,0,"No",2,21.127425,0.12609375,0.372,875,2,1,-1,1.409728125,0.7048640625,0,0,5.3280724921875,2.66403624609375,TRUE,FALSE
"Shellfish","Shrimp 26/30",5.69,5.69,0,"No",1,21.127425,0.1000062971,0.227,875,1,0,-1,0.569035830499,0,0,0,2.11287554150797,0,TRUE,FALSE
